ax,ay,az,gx,gy,gz,mx,my,mx
-0.186748,0.368707,9.57681,0.00106422,0.00957802,0.00957802,9.05449,25.1982,40.827
-0.0622492,0.392649,9.48583,0.00638535,0.0180918,0.0106422,9.05449,25.1982,40.827
-0.134075,0.344765,9.52892,0.00638535,0.0170276,0.0159634,9.05449,25.1982,40.827
-0.158017,0.349553,9.42837,0.00532112,0.00957802,0.00957802,9.05449,25.1982,40.827
-0.0861913,0.354342,9.46188,0.00851379,0.0117065,0.00957802,9.05449,25.1982,40.827
-0.114922,0.47884,9.51456,0.00319267,0.0159634,0.0127707,9.05449,25.1982,40.827
-0.0191536,0.430956,9.55287,0.00532112,0.0117065,0.0138349,9.05449,25.1982,40.827
-0.129287,0.407014,9.5385,0.00638535,0.0117065,0.0127707,9.05449,25.1982,40.827
-0.0814029,0.397437,9.55765,0.00638535,0.0127707,0.00638535,9.05449,25.1982,40.827
-0.148441,0.445322,9.4954,0.0042569,0.00957802,0.0042569,9.05449,25.1982,40.827
-0.100556,0.373495,9.50019,0.00532112,0.0148991,0.00744957,9.05449,25.1982,40.827
-0.138864,0.354342,9.44752,0.00744957,0.0148991,0.0127707,9.05449,25.1982,40.827
-0.0814029,0.35913,9.60075,0.00957802,0.0180918,0.0117065,9.05449,25.1982,40.827
-0.110133,0.397437,9.53371,0.00744957,0.0148991,0.00851379,9.05449,25.1982,40.827
-0.11971,0.440533,9.63906,0.00957802,0.0106422,0.00744957,9.05449,25.1982,40.827
-0.0861913,0.368707,9.43315,0.00851379,0.0106422,0.0042569,9.05449,25.1982,40.827
-0.071826,0.397437,9.52892,0.00744957,0.0127707,0.0117065,9.05449,25.1982,40.827
-0.100556,0.3304,9.43794,0.00957802,0.0127707,0.00851379,9.05449,25.1982,40.827
-0.100556,0.383072,9.42358,0.00532112,0.0148991,0.00744957,9.05449,25.1982,40.827
-0.114922,0.426168,9.61033,0.00532112,0.0117065,0.00957802,9.05449,25.1982,40.827
-0.143652,0.430956,9.63906,0.00744957,0.0127707,0.00532112,9.05449,25.1982,40.827
-0.11971,0.383072,9.42358,0.00319267,0.0148991,0.00532112,9.05449,25.1982,40.827
-0.071826,0.311246,9.55765,0.00957802,0.0148991,0.00851379,9.05449,25.1982,40.827
-0.0191536,0.383072,9.57202,0.00744957,0.0106422,0.0117065,9.05449,25.1982,40.827
-0.071826,0.383072,9.5816,0.0042569,0.0127707,0.0138349,9.05449,25.1982,40.827
-0.134075,0.402226,9.53371,0.00851379,0.0170276,0.0127707,9.05449,25.1982,40.827
-0.0909797,0.402226,9.5816,0.00744957,0.0180918,0.0138349,9.05449,25.1982,40.827
-0.110133,0.392649,9.46667,0.00319267,0.0148991,0.0159634,9.05449,25.1982,40.827
-0.177171,0.339977,9.44273,0.00744957,0.0117065,0.00744957,9.05449,25.1982,40.827
-0.158017,0.435745,9.5816,0.00744957,0.0127707,0.00957802,9.05449,25.1982,40.827
-0.138864,0.392649,9.42358,0.00744957,0.0138349,0.0106422,9.05449,25.1982,40.827
-0.138864,0.397437,9.60075,0.00106422,0.0127707,0.0117065,9.05449,25.1982,40.827
-0.158017,0.35913,9.44273,0.0117065,0.00744957,0.00744957,9.05449,25.1982,40.827
-0.138864,0.349553,9.52413,0.0138349,0.0138349,0.00638535,9.05449,25.1982,40.827
-0.0526724,0.35913,9.42837,0.00532112,0.0117065,0.00638535,9.05449,25.1982,40.827
